amount,time_of_day,receiver_age_days,receiver_report_count,location_risk,device_trust_score,is_fraud
4787.36,15,40,2,0.081,0.791,0
2988.93,20,829,0,0.135,0.864,0
2764.57,2,12,0,0.618,0.793,0
2764.6,19,64,0,0.321,0.48,1
9299.43,2,288,2,0.412,0.843,0
5733.41,10,29,1,0.272,0.524,0
2262.16,5,168,0,0.291,0.698,0
4939.63,13,199,2,0.637,0.938,0
3997.92,3,233,1,0.223,0.638,0
431.83,1,35,1,0.123,0.844,0
1342.48,14,46,0,0.219,0.936,0
4212.33,7,26,2,0.176,0.625,0
8730.35,11,38,0,0.229,0.823,0
2783.7,13,358,0,0.504,0.525,0
2116.05,17,24,0,0.068,0.477,0
3628.02,13,103,0,0.056,0.632,0
2010.57,3,3,0,0.556,0.374,1
2635.48,17,288,1,0.462,0.804,0
3298.6,12,630,1,0.52,0.887,1
1280.27,16,71,0,0.138,0.635,0
5940.12,0,73,1,0.337,0.705,0
1070.36,15,171,0,0.382,0.902,0
945.59,6,28,0,0.209,0.346,0
3867.9,22,184,0,0.541,0.875,0
5626.71,7,160,1,0.183,0.702,0
3795.67,18,102,1,0.445,0.954,0
3043.56,13,241,0,0.298,0.633,0
2614.76,19,157,0,0.248,0.662,1
2279.82,18,372,0,0.169,0.735,0
6875.6,17,260,1,0.495,0.6,0
4242.09,21,174,0,0.246,0.633,0
2434.64,18,76,2,0.395,0.772,1
1873.21,13,6,1,0.224,0.918,0
5175.24,3,93,0,0.412,0.713,0
6766.88,16,297,0,0.57,0.617,0
6362.42,10,444,0,0.322,0.855,0
1602.09,23,381,0,0.23,0.637,0
2597.0,17,92,1,0.298,0.736,0
2242.87,12,6,0,0.404,0.654,0
2876.58,8,554,0,0.254,0.729,0
5902.18,6,230,0,0.121,0.844,0
8204.52,6,131,0,0.194,0.612,0
4356.97,0,301,0,0.216,0.921,0
1929.69,1,19,0,0.283,0.476,0
3241.68,20,18,0,0.367,0.946,1
9225.08,10,246,0,0.308,0.7,0
3563.18,2,14,1,0.151,0.642,1
2619.37,7,10,0,0.233,0.288,0
2797.71,10,255,0,0.563,0.758,0
4343.03,3,271,0,0.4,0.756,0
1651.26,21,106,0,0.489,0.464,1
2198.39,20,99,0,0.332,0.435,0
6299.54,22,117,0,0.347,0.839,1
4256.26,17,92,0,0.24,0.589,0
3590.32,3,118,1,0.183,0.363,0
6512.03,14,41,0,0.303,0.589,0
1829.37,17,175,0,0.092,0.893,0
2556.87,19,146,0,0.23,0.653,0
4157.86,8,219,1,0.162,0.662,0
4053.83,8,40,1,0.438,0.91,0
851.69,14,19,0,0.486,0.784,0
2360.92,5,328,1,0.062,0.783,1
2934.0,5,469,0,0.459,0.717,0
4489.21,1,38,0,0.241,0.859,0
4043.53,11,108,0,0.202,0.443,0
3144.79,18,258,0,0.081,0.445,0
428.21,16,149,1,0.308,0.629,0
3265.34,15,167,1,0.13,0.784,1
3491.28,12,84,0,0.599,0.648,0
14596.0,1,26,1,0.394,0.903,0
2860.92,21,646,1,0.341,0.586,0
4174.12,3,272,0,0.055,0.561,0
7240.43,9,77,3,0.196,0.564,0
5676.15,18,251,1,0.274,0.561,1
8425.61,13,99,0,0.302,0.924,0
865.82,4,43,1,0.026,0.671,0
1374.12,10,227,2,0.186,0.686,0
2074.53,11,106,1,0.14,0.811,1
718.63,8,24,0,0.403,0.844,0
3513.51,4,81,1,0.111,0.858,0
1478.36,14,99,0,0.499,0.884,0
9150.42,21,98,0,0.595,0.765,0
1692.4,4,170,1,0.248,0.89,0
2569.01,8,115,0,0.346,0.554,0
5905.92,14,270,0,0.314,0.465,0
1058.28,22,195,0,0.342,0.666,1
667.17,4,149,1,0.183,0.911,0
3833.14,11,287,1,0.345,0.602,0
4050.38,22,536,0,0.119,0.602,1
5786.91,17,51,1,0.257,0.836,1
4870.75,23,313,1,0.245,0.591,0
4160.45,6,113,0,0.052,0.406,0
1867.76,17,167,0,0.38,0.872,0
3969.69,2,345,1,0.707,0.613,1
4148.75,23,162,0,0.283,0.776,0
1808.17,12,40,1,0.583,0.716,0
10844.15,20,759,0,0.131,0.648,0
4712.55,17,368,0,0.258,0.321,0
1396.92,9,22,2,0.206,0.673,0
5806.56,6,38,2,0.406,0.513,0
6490.79,17,87,1,0.133,0.896,0
4516.76,18,128,0,0.135,0.774,0
2739.04,0,35,0,0.596,0.898,0
1741.37,8,119,0,0.338,0.549,0
3138.19,20,118,1,0.601,0.797,0
4294.05,15,59,2,0.102,0.71,0
3367.02,16,32,1,0.299,0.776,0
8671.05,17,35,1,0.068,0.566,0
5223.83,8,356,0,0.275,0.644,0
1573.84,13,317,0,0.32,0.863,0
1262.38,23,4,1,0.51,0.99,0
4740.7,16,49,0,0.212,0.72,0
2789.01,9,6,1,0.209,0.9,0
5537.62,9,30,3,0.455,0.548,0
4710.61,21,16,1,0.279,0.89,0
3148.8,20,287,0,0.108,0.775,0
1590.12,18,88,0,0.022,0.703,0
752.4,19,241,1,0.258,0.89,0
3917.24,9,155,1,0.272,0.918,0
1040.5,21,56,0,0.233,0.841,0
1532.41,12,138,0,0.178,0.866,0
3746.21,11,53,0,0.069,0.915,1
3485.9,11,84,0,0.03,0.694,1
1167.44,23,426,1,0.272,0.542,0
6984.65,7,338,0,0.27,0.592,0
6861.72,3,115,0,0.351,0.662,0
4847.83,20,37,0,0.176,0.488,0
4843.69,23,35,0,0.575,0.787,1
4847.87,2,210,1,0.386,0.718,0
6453.12,23,137,0,0.184,0.72,0
5313.95,14,153,0,0.29,0.861,0
1709.6,12,16,0,0.523,0.711,0
2758.5,6,95,1,0.161,0.731,1
13593.06,7,93,0,0.283,0.458,0
462.97,17,63,0,0.2,0.456,0
2257.26,0,282,0,0.135,0.622,0
7009.63,11,29,0,0.405,0.79,0
1806.53,9,311,2,0.165,0.634,0
5413.96,13,18,1,0.296,0.695,0
3452.39,17,34,0,0.238,0.631,0
1918.09,10,149,0,0.261,0.857,0
362.02,4,172,0,0.303,0.789,0
3838.31,8,686,0,0.162,0.66,0
1677.22,23,186,0,0.442,0.673,0
3045.77,22,166,2,0.127,0.722,0
4814.6,19,42,0,0.255,0.912,1
6105.62,11,18,2,0.093,0.782,1
2251.26,15,312,0,0.218,0.358,0
1915.0,10,297,1,0.338,0.67,0
1022.61,2,110,1,0.391,0.712,0
6309.26,19,16,1,0.361,0.961,0
12363.45,14,131,1,0.638,0.758,0
6772.95,7,102,0,0.113,0.756,0
7791.2,23,266,0,0.465,0.951,0
1819.67,5,171,1,0.17,0.79,0
4615.6,11,30,1,0.37,0.581,0
5760.14,19,39,1,0.343,0.793,0
1326.28,2,32,0,0.544,0.672,0
9574.3,7,82,1,0.245,0.636,0
836.43,17,66,0,0.195,0.83,0
8611.31,7,60,0,0.06,0.607,0
830.56,20,119,0,0.431,0.679,1
1387.08,8,354,1,0.108,0.426,0
4674.5,15,75,1,0.033,0.647,0
3516.83,9,70,1,0.318,0.867,0
2434.15,14,125,0,0.357,0.689,0
9334.29,7,75,1,0.163,0.916,0
1049.95,14,188,1,0.17,0.805,1
2956.58,18,14,0,0.103,0.805,0
5094.79,3,52,1,0.231,0.73,0
4112.76,11,278,1,0.633,0.761,0
1970.18,8,402,0,0.412,0.8,0
2031.42,5,109,0,0.096,0.652,0
6043.4,14,54,2,0.208,0.818,0
6237.38,18,87,0,0.062,0.496,1
4191.4,23,347,0,0.495,0.758,1
1618.34,0,193,1,0.272,0.966,0
2086.07,8,77,2,0.361,0.816,0
3279.66,10,299,1,0.096,0.904,0
3645.54,11,108,2,0.229,0.77,0
4954.87,17,31,0,0.232,0.473,0
2838.05,11,35,0,0.226,0.704,0
5951.02,20,822,1,0.463,0.735,1
5905.9,15,45,0,0.409,0.838,0
7967.91,13,464,4,0.25,0.396,1
3387.86,2,315,0,0.149,0.7,0
4242.34,0,88,1,0.333,0.873,0
3008.47,20,88,0,0.191,0.71,0
1635.59,6,205,1,0.161,0.398,0
12180.19,17,104,0,0.314,0.864,0
7306.83,1,26,0,0.251,0.72,0
5823.69,10,632,1,0.726,0.966,0
3301.81,2,100,0,0.343,0.597,1
1511.9,9,62,0,0.114,0.668,0
6538.19,12,18,1,0.05,0.807,0
2967.87,23,155,0,0.446,0.756,0
4517.23,21,110,1,0.26,0.475,0
2079.38,18,557,1,0.089,0.551,1
4006.68,18,5,1,0.469,0.887,0
2188.26,9,616,1,0.274,0.845,0
2259.04,22,432,0,0.08,0.703,0
3969.1,12,112,0,0.484,0.764,1
818.13,2,112,2,0.221,0.672,0
859.94,1,100,0,0.115,0.745,0
1801.15,20,74,0,0.282,0.5,0
2812.03,7,249,0,0.071,0.483,0
6074.39,15,249,0,0.174,0.805,0
2937.19,16,59,0,0.51,0.462,0
3285.76,16,106,0,0.56,0.753,1
2642.19,16,36,0,0.24,0.789,1
4237.95,19,358,0,0.15,0.52,0
1621.16,23,61,0,0.222,0.578,0
3060.33,7,214,0,0.103,0.36,0
4481.85,5,449,1,0.185,0.778,0
3946.06,22,79,0,0.072,0.311,1
3365.95,7,244,0,0.129,0.708,0
3397.02,22,202,0,0.714,0.521,0
4791.58,1,126,0,0.364,0.654,0
12556.4,21,321,0,0.48,0.749,0
1718.67,19,259,0,0.167,0.919,1
12786.7,16,251,0,0.346,0.693,0
1651.58,11,203,0,0.072,0.777,0
307.03,0,50,1,0.172,0.617,0
2151.78,4,508,0,0.461,0.792,1
4295.9,18,87,0,0.233,0.687,0
10903.19,12,347,1,0.032,0.724,0
1510.13,19,209,1,0.36,0.562,0
4771.62,0,76,0,0.214,0.937,0
954.48,22,466,1,0.277,0.74,0
10650.78,9,20,0,0.382,0.804,0
7400.16,21,182,0,0.408,0.785,0
2262.75,3,213,2,0.302,0.731,1
8193.39,22,255,0,0.439,0.563,0
3046.25,10,175,0,0.222,0.74,0
7659.64,19,41,0,0.718,0.878,0
3346.89,5,188,0,0.344,0.863,0
3456.11,2,254,2,0.231,0.373,0
2301.08,4,380,0,0.518,0.611,0
5214.02,11,273,0,0.426,0.744,0
3653.68,0,15,1,0.302,0.642,0
4845.85,12,174,0,0.06,0.593,1
734.11,10,232,0,0.531,0.422,0
7840.26,13,715,0,0.429,0.847,1
9156.58,13,28,0,0.388,0.786,0
3641.01,21,67,2,0.265,0.724,0
11987.41,13,328,1,0.212,0.787,0
10230.08,2,181,0,0.528,0.669,0
5292.78,13,74,1,0.165,0.985,0
8262.99,0,231,0,0.039,0.708,0
6881.05,8,67,0,0.422,0.878,1
542.26,21,40,1,0.23,0.876,0
2684.99,8,22,0,0.123,0.678,0
5550.46,18,179,1,0.247,0.737,1
9554.51,5,64,0,0.503,0.945,0
888.89,2,213,0,0.534,0.902,0
585.98,7,261,0,0.077,0.71,0
3191.96,5,345,0,0.24,0.858,0
337.73,8,129,0,0.515,0.81,0
3108.48,2,37,0,0.455,0.779,0
4372.31,14,40,1,0.278,0.724,0
1447.85,12,87,0,0.275,0.53,0
3174.1,23,222,3,0.578,0.901,0
6457.7,3,472,0,0.277,0.706,0
2143.11,14,557,0,0.114,0.759,0
1676.64,0,57,0,0.584,0.895,0
3064.55,4,32,0,0.202,0.831,0
1311.17,13,389,0,0.281,0.663,0
11414.82,9,234,0,0.498,0.536,1
3425.21,17,108,1,0.312,0.749,0
1833.4,20,24,0,0.347,0.63,1
3916.91,0,95,0,0.477,0.81,1
3051.63,14,2,1,0.243,0.876,1
2794.72,2,426,0,0.301,0.636,0
2142.64,13,288,1,0.3,0.913,0
2056.67,22,150,0,0.061,0.962,1
752.07,11,155,0,0.185,0.542,0
8254.68,6,29,1,0.405,0.333,0
5054.61,19,480,0,0.182,0.711,0
4203.29,13,56,1,0.366,0.884,1
3013.84,18,23,1,0.385,0.437,1
1424.78,3,334,1,0.17,0.869,1
1737.0,19,218,1,0.185,0.792,1
844.56,12,32,1,0.317,0.878,0
1927.08,13,1,0,0.303,0.816,0
1248.03,7,301,2,0.057,0.898,0
9862.69,17,424,0,0.531,0.605,0
6167.23,4,213,0,0.418,0.613,0
3537.11,20,378,2,0.159,0.601,0
1567.39,10,220,2,0.116,0.827,0
1308.4,20,806,2,0.524,0.854,0
2865.64,23,751,2,0.36,0.546,1
6342.17,8,380,0,0.126,0.752,0
869.28,0,211,1,0.268,0.891,0
5008.44,5,16,1,0.401,0.625,0
1919.8,7,321,0,0.189,0.755,0
2227.14,0,255,2,0.152,0.674,0
3460.19,3,374,0,0.164,0.759,0
1615.23,12,620,1,0.507,0.949,0
2753.65,11,1036,1,0.194,0.626,0
1496.24,23,21,0,0.199,0.792,1
2054.88,23,2,0,0.226,0.392,0
5688.89,20,259,0,0.176,0.924,0
3596.44,3,430,0,0.312,0.597,1
5674.14,14,169,0,0.318,0.913,0
1898.47,9,12,0,0.141,0.686,0
5034.33,6,321,0,0.166,0.768,0
649.6,18,41,0,0.287,0.813,0
3459.04,0,132,1,0.509,0.683,1
5268.98,8,93,0,0.092,0.88,0
620.56,4,136,0,0.547,0.828,0
1917.67,8,34,0,0.493,0.971,0
3457.22,14,223,0,0.227,0.844,0
6665.12,3,105,1,0.631,0.343,0
2054.66,4,97,0,0.236,0.62,0
4896.94,23,39,0,0.346,0.46,0
8612.75,17,194,0,0.267,0.755,0
5056.36,8,216,1,0.063,0.524,0
2836.08,17,17,0,0.149,0.848,0
4386.39,15,347,0,0.143,0.72,0
2004.41,6,436,0,0.111,0.885,0
3561.94,3,906,2,0.113,0.543,0
2947.32,17,85,3,0.166,0.802,1
4283.21,6,187,3,0.39,0.95,0
2378.96,5,26,1,0.329,0.508,0
4459.05,14,109,1,0.268,0.77,0
2360.23,0,391,2,0.182,0.383,1
6126.4,3,256,1,0.6,0.93,1
2560.42,13,145,0,0.803,0.827,0
354.45,22,366,2,0.243,0.695,0
1349.18,12,355,1,0.295,0.898,0
3381.12,6,478,0,0.092,0.61,0
9805.84,18,45,0,0.386,0.775,0
5966.2,4,52,0,0.308,0.965,1
263.34,11,745,1,0.019,0.882,0
787.64,3,141,0,0.355,0.579,0
7244.46,20,209,0,0.143,0.721,0
5248.65,16,473,0,0.405,0.857,0
13305.37,7,157,2,0.335,0.548,0
2282.38,11,32,1,0.392,0.659,0
1585.32,9,97,1,0.54,0.918,0
3521.55,15,146,1,0.329,0.901,0
2245.88,7,129,0,0.168,0.566,0
6793.99,23,1035,1,0.037,0.484,0
2182.28,19,53,0,0.098,0.507,1
2683.95,14,287,0,0.189,0.761,1
1391.03,2,6,0,0.414,0.685,1
5694.78,3,91,1,0.353,0.915,0
1474.24,4,20,0,0.095,0.454,0
4518.82,4,168,1,0.433,0.731,1
10906.75,15,67,0,0.137,0.824,0
527.03,15,195,0,0.604,0.69,0
8880.32,9,177,0,0.046,0.872,0
4109.72,4,145,0,0.262,0.9,0
1190.01,20,373,1,0.345,0.752,0
3623.84,12,116,0,0.16,0.987,0
5580.35,13,280,1,0.492,0.655,0
1680.56,9,111,1,0.177,0.673,0
4704.86,17,632,0,0.204,0.581,0
9371.11,16,35,0,0.207,0.314,0
2179.94,3,265,1,0.384,0.781,0
1375.46,0,13,1,0.349,0.572,0
3018.99,6,35,1,0.472,0.334,1
3479.29,10,151,0,0.18,0.841,0
7031.86,10,121,0,0.179,0.636,0
2941.78,17,644,1,0.396,0.865,0
2348.15,17,0,1,0.199,0.36,0
1343.51,8,182,1,0.269,0.745,1
626.18,17,76,0,0.565,0.855,0
988.84,15,133,0,0.166,0.413,0
982.97,17,162,1,0.139,0.898,0
2706.99,18,155,0,0.369,0.761,0
763.66,13,641,0,0.174,0.528,0
3195.1,11,866,0,0.264,0.645,0
10749.09,11,141,1,0.332,0.833,0
7170.25,9,103,3,0.486,0.949,0
2686.15,18,256,1,0.525,0.819,0
15370.29,1,146,2,0.313,0.765,0
3488.58,5,266,0,0.47,0.279,0
3871.39,21,97,1,0.295,0.733,1
2974.32,14,125,0,0.379,0.836,0
3249.48,18,17,0,0.213,0.721,0
2117.88,19,214,2,0.152,0.753,1
2717.38,10,343,0,0.051,0.706,0
8919.82,22,39,0,0.248,0.799,0
7696.88,11,605,0,0.302,0.663,1
334.4,1,807,1,0.371,0.932,1
859.89,18,172,0,0.26,0.698,0
1701.35,4,16,2,0.1,0.979,0
6379.91,18,317,0,0.499,0.905,0
7812.34,18,126,0,0.384,0.49,1
5565.46,8,401,1,0.166,0.844,0
1185.39,11,332,2,0.227,0.639,1
2154.16,12,176,0,0.567,0.839,0
4763.28,9,7,0,0.368,0.662,1
2750.52,18,179,0,0.177,0.537,0
2456.19,10,287,1,0.089,0.698,0
2485.49,18,213,1,0.015,0.992,1
7312.15,2,213,0,0.315,0.606,0
5111.2,4,291,0,0.047,0.898,0
2596.27,11,151,0,0.203,0.659,0
4248.3,9,290,2,0.441,0.731,0
1034.13,3,50,0,0.325,0.836,1
2157.63,22,104,0,0.397,0.558,1
6841.71,12,215,0,0.249,0.866,0
713.11,20,36,1,0.392,0.662,0
5155.65,21,291,0,0.203,0.616,0
329.66,22,176,0,0.354,0.514,0
9912.34,17,263,0,0.216,0.68,1
2115.03,0,394,0,0.471,0.804,0
4473.75,8,687,1,0.252,0.682,0
3637.05,2,68,0,0.192,0.837,1
3736.67,14,316,1,0.228,0.531,1
4192.91,2,89,0,0.407,0.706,0
580.5,10,133,1,0.254,0.708,0
3794.26,20,189,0,0.362,0.767,0
2880.5,8,54,1,0.137,0.58,0
2124.88,14,48,1,0.279,0.937,0
1700.55,20,179,0,0.319,0.465,0
3865.0,6,241,0,0.26,0.74,0
1391.59,7,622,0,0.511,0.823,0
6759.25,9,168,0,0.506,0.627,1
4708.53,21,179,0,0.281,0.927,0
4039.06,22,107,0,0.18,0.758,0
6568.87,10,307,0,0.098,0.795,1
481.49,6,266,0,0.148,0.44,0
1000.81,10,42,0,0.377,0.633,0
4856.53,20,97,0,0.058,0.792,0
1788.67,21,29,0,0.503,0.734,0
1990.58,19,23,0,0.167,0.72,0
860.78,6,537,0,0.129,0.649,0
1395.2,17,218,0,0.157,0.865,0
6861.05,10,452,0,0.407,0.421,1
4776.2,22,170,1,0.458,0.864,0
3833.72,5,59,0,0.419,0.483,0
2057.0,11,60,1,0.445,0.899,0
3658.39,22,56,0,0.164,0.751,0
7268.4,9,76,0,0.174,0.964,1
1827.43,0,46,0,0.319,0.629,0
3243.81,16,30,1,0.305,0.888,0
10314.61,14,459,0,0.076,0.919,0
5515.02,15,171,1,0.303,0.721,1
2081.75,13,50,0,0.084,0.499,0
5210.4,0,170,0,0.382,0.559,0
700.63,15,57,0,0.382,0.734,0
3144.82,2,230,0,0.082,0.865,0
5206.44,0,434,0,0.24,0.864,0
4414.52,10,36,1,0.193,0.948,0
5171.46,2,160,0,0.325,0.806,1
5983.4,15,92,0,0.481,0.706,0
4665.05,2,349,1,0.24,0.993,0
4570.2,0,10,0,0.131,0.51,1
3898.85,7,238,0,0.567,0.723,0
1248.69,18,207,1,0.27,0.501,0
6859.0,19,303,1,0.409,0.754,0
3232.24,12,160,0,0.167,0.525,0
5420.75,11,118,1,0.465,0.763,1
6390.29,9,59,1,0.301,0.809,1
2170.56,18,422,0,0.139,0.593,0
2332.62,20,448,0,0.452,0.895,0
2597.08,12,138,2,0.278,0.712,0
7740.58,6,474,0,0.059,0.752,0
1515.93,14,8,0,0.55,0.762,1
8639.08,14,370,0,0.401,0.85,0
3867.03,20,328,0,0.276,0.989,0
4071.49,18,344,0,0.133,0.933,0
6198.38,4,208,0,0.552,0.857,0
3550.34,18,168,2,0.031,0.955,0
6910.63,18,358,0,0.24,0.958,0
2168.15,19,293,0,0.26,0.604,0
8457.04,19,553,0,0.39,0.81,1
2310.29,15,344,0,0.274,0.66,0
8670.32,11,80,0,0.162,0.527,0
2361.86,1,33,1,0.324,0.962,0
2657.42,5,35,1,0.474,0.71,1
1354.76,4,389,1,0.511,0.727,0
1717.93,4,268,2,0.152,0.785,0
3244.58,21,849,0,0.63,0.301,0
3975.38,10,449,1,0.158,0.529,0
6575.49,13,519,0,0.307,0.779,0
2810.78,21,229,0,0.452,0.746,0
4421.41,12,68,0,0.237,0.647,0
3781.85,11,131,1,0.268,0.538,0
4773.36,1,6,0,0.351,0.686,0
1942.95,18,205,0,0.089,0.852,1
2141.69,3,53,1,0.699,0.971,0
1943.59,19,515,1,0.411,0.723,0
7442.32,1,84,0,0.146,0.462,0
8510.74,3,132,0,0.155,0.748,0
2066.17,8,114,1,0.542,0.797,1
